k,config,n,steps_per_sec,iters,warmup,repeats
4,"articulated-body kernel, eval every 32",65536,450437382,64,8,3
4,"mass-matrix kernel (v10), eval every 32",1,15175,64,8,3
4,"mass-matrix kernel (v10), eval every 32",2,32048,64,8,3
4,"mass-matrix kernel (v10), eval every 32",4,67831,64,8,3
4,"mass-matrix kernel (v10), eval every 32",8,138611,64,8,3
4,"mass-matrix kernel (v10), eval every 32",16,273191,64,8,3
4,"mass-matrix kernel (v10), eval every 32",32,524585,64,8,3
4,"mass-matrix kernel (v10), eval every 32",64,983679,64,8,3
4,"mass-matrix kernel (v10), eval every 32",128,2017630,64,8,3
4,"mass-matrix kernel (v10), eval every 32",256,4049056,64,8,3
4,"mass-matrix kernel (v10), eval every 32",512,8267874,64,8,3
4,"mass-matrix kernel (v10), eval every 32",1024,16620143,64,8,3
4,"mass-matrix kernel (v10), eval every 32",2048,30712505,64,8,3
4,"mass-matrix kernel (v10), eval every 32",4096,62155650,64,8,3
4,"mass-matrix kernel (v10), eval every 32",8192,115662389,64,8,3
4,"mass-matrix kernel (v10), eval every 32",16384,180755216,64,8,3
4,"mass-matrix kernel (v10), eval every 32",32768,238263097,64,8,3
4,"mass-matrix kernel (v10), eval every 32",65536,291087502,64,8,3
8,numpy (articulated body),1,800,64,8,3
8,numpy (articulated body),2,1618,64,8,3
8,numpy (articulated body),4,3218,64,8,3
8,numpy (articulated body),8,6304,64,8,3
8,numpy (articulated body),16,12634,64,8,3
8,numpy (articulated body),32,25020,64,8,3
8,numpy (articulated body),64,49166,64,8,3
8,numpy (articulated body),128,92348,64,8,3
8,numpy (articulated body),256,160763,64,8,3
8,numpy (articulated body),512,277045,64,8,3
8,numpy (articulated body),1024,452102,64,8,3
8,numpy (articulated body),2048,671902,64,8,3
8,numpy (articulated body),4096,858259,64,8,3
8,numpy (articulated body),8192,940765,64,8,3
8,numpy (articulated body),16384,720690,64,8,3
8,numpy (articulated body),32768,879549,64,8,3
8,numpy (articulated body),65536,927980,64,8,3
8,"mlx compiled (articulated body), eval every 32",1,225,64,8,3
8,"mlx compiled (articulated body), eval every 32",2,415,64,8,3
8,"mlx compiled (articulated body), eval every 32",4,821,64,8,3
8,"mlx compiled (articulated body), eval every 32",8,1676,64,8,3
8,"mlx compiled (articulated body), eval every 32",16,3360,64,8,3
8,"mlx compiled (articulated body), eval every 32",32,5840,64,8,3
8,"mlx compiled (articulated body), eval every 32",64,11800,64,8,3
8,"mlx compiled (articulated body), eval every 32",128,22658,64,8,3
8,"mlx compiled (articulated body), eval every 32",256,46533,64,8,3
8,"mlx compiled (articulated body), eval every 32",512,91224,64,8,3
8,"mlx compiled (articulated body), eval every 32",1024,180727,64,8,3
8,"mlx compiled (articulated body), eval every 32",2048,346582,64,8,3
8,"mlx compiled (articulated body), eval every 32",4096,681389,64,8,3
8,"mlx compiled (articulated body), eval every 32",8192,1358848,64,8,3
8,"mlx compiled (articulated body), eval every 32",16384,2888534,64,8,3
8,"mlx compiled (articulated body), eval every 32",32768,6010189,64,8,3
8,"mlx compiled (articulated body), eval every 32",65536,8689918,64,8,3
8,"articulated-body kernel, eval every step",1,3626,64,8,3
8,"articulated-body kernel, eval every step",2,7786,64,8,3
8,"articulated-body kernel, eval every step",4,14343,64,8,3
8,"articulated-body kernel, eval every step",8,28545,64,8,3
8,"articulated-body kernel, eval every step",16,59404,64,8,3
8,"articulated-body kernel, eval every step",32,111878,64,8,3
8,"articulated-body kernel, eval every step",64,217176,64,8,3
8,"articulated-body kernel, eval every step",128,435554,64,8,3
8,"articulated-body kernel, eval every step",256,953894,64,8,3
8,"articulated-body kernel, eval every step",512,1743875,64,8,3
8,"articulated-body kernel, eval every step",1024,3305767,64,8,3
8,"articulated-body kernel, eval every step",2048,6819829,64,8,3
8,"articulated-body kernel, eval every step",4096,14523179,64,8,3
8,"articulated-body kernel, eval every step",8192,28513801,64,8,3
8,"articulated-body kernel, eval every step",16384,49817828,64,8,3
8,"articulated-body kernel, eval every step",32768,78410907,64,8,3
8,"articulated-body kernel, eval every step",65536,111680711,64,8,3
8,"articulated-body kernel, eval every 32",1,11322,64,8,3
8,"articulated-body kernel, eval every 32",2,24702,64,8,3
8,"articulated-body kernel, eval every 32",4,49341,64,8,3
8,"articulated-body kernel, eval every 32",8,62682,64,8,3
8,"articulated-body kernel, eval every 32",16,175591,64,8,3
8,"articulated-body kernel, eval every 32",32,389181,64,8,3
8,"articulated-body kernel, eval every 32",64,667586,64,8,3
8,"articulated-body kernel, eval every 32",128,1297160,64,8,3
8,"articulated-body kernel, eval every 32",256,2858984,64,8,3
8,"articulated-body kernel, eval every 32",512,5397834,64,8,3
8,"articulated-body kernel, eval every 32",1024,11545142,64,8,3
8,"articulated-body kernel, eval every 32",2048,22145527,64,8,3
8,"articulated-body kernel, eval every 32",4096,45289640,64,8,3
