rule,n,seed,lr,minibatches,solved,iterations,env_steps,train_seconds,score
linear,1024,3,0.001,4,True,19,622592,0.5207585408352315,499.259765625
linear,1024,4,0.001,4,True,15,491520,0.41279683297034353,485.24072265625
linear,4096,0,0.004,4,True,21,2752512,1.6684907076414675,480.23974609375
linear,4096,1,0.004,4,True,12,1572864,0.9498382090823725,492.68603515625
linear,4096,2,0.004,4,True,15,1966080,1.176554253208451,499.9658203125
linear,4096,3,0.004,4,True,12,1572864,0.9417449169559404,477.48681640625
linear,4096,4,0.004,4,True,12,1572864,0.9408538739662617,495.5810546875
linear,16384,0,0.016,4,True,112,58720256,31.589338256628253,484.74267578125
linear,16384,1,0.016,4,True,27,14155776,7.5829346688697115,475.00830078125
linear,16384,2,0.016,4,True,19,9961472,5.3242193318437785,500.0
linear,16384,3,0.016,4,False,427,223870976,120.10778716590721,8.3671875
linear,16384,4,0.016,4,True,25,13107200,7.148598040919751,475.93212890625
linear,65536,0,0.064,4,False,107,224395264,120.76782300125342,8.326171875
linear,65536,1,0.064,4,False,107,224395264,120.29859316791408,8.35546875
linear,65536,2,0.064,4,False,107,224395264,120.72587675694376,8.3583984375
linear,65536,3,0.064,4,False,107,224395264,120.70018566888757,8.3857421875
linear,65536,4,0.064,4,True,101,211812352,115.17079921148252,480.76904296875
minibatch,256,0,0.00025,4,True,11,90112,0.1806010827422142,479.95751953125
minibatch,256,1,0.00025,4,True,7,57344,0.11499904189258814,499.78759765625
minibatch,256,2,0.00025,4,True,38,311296,0.6143140370259061,493.9609375
minibatch,256,3,0.00025,4,True,7,57344,0.11596504400949925,482.26220703125
minibatch,256,4,0.00025,4,True,7,57344,0.11455249995924532,495.974609375
minibatch,1024,0,0.00025,16,True,20,655360,0.9119372480781749,487.69775390625
minibatch,1024,1,0.00025,16,True,24,786432,1.0986809990135953,486.3017578125
minibatch,1024,2,0.00025,16,True,33,1081344,1.5109063773415983,497.39990234375
minibatch,1024,3,0.00025,16,True,2,65536,0.0935995829058811,500.0
minibatch,1024,4,0.00025,16,True,17,557056,0.794788541039452,480.19189453125
minibatch,4096,0,0.00025,64,True,12,1572864,2.109888377133757,483.24853515625
minibatch,4096,1,0.00025,64,True,11,1441792,1.93353287584614,497.796875
minibatch,4096,2,0.00025,64,True,11,1441792,1.9689729580422863,485.896484375
minibatch,4096,3,0.00025,64,True,13,1703936,2.280073289759457,493.9228515625
minibatch,4096,4,0.00025,64,True,10,1310720,1.7557693729177117,484.53955078125
minibatch,16384,0,0.00025,256,True,10,5242880,6.948293039924465,475.1298828125
minibatch,16384,1,0.00025,256,True,11,5767168,7.602634875103831,482.49853515625
minibatch,16384,2,0.00025,256,True,13,6815744,8.974786372273229,476.73779296875
minibatch,16384,3,0.00025,256,True,12,6291456,8.292444373946637,490.13330078125
minibatch,16384,4,0.00025,256,True,10,5242880,6.859651083010249,488.802734375
minibatch,65536,0,0.00025,1024,True,8,16777216,21.88580704096239,498.34375
minibatch,65536,1,0.00025,1024,True,9,18874368,25.0586517942138,486.87451171875
minibatch,65536,2,0.00025,1024,True,8,16777216,22.173794792266563,499.9951171875
minibatch,65536,3,0.00025,1024,True,10,20971520,27.97766962624155,488.2802734375
minibatch,65536,4,0.00025,1024,True,8,16777216,22.139780708123,479.57421875
