k,config,n,steps_per_sec,iters,warmup,repeats
8,"mlx compiled, eval every step",256,181901,64,8,3
8,"mlx compiled, eval every step",512,353014,64,8,3
8,"mlx compiled, eval every step",1024,677784,64,8,3
8,"mlx compiled, eval every step",2048,1278968,64,8,3
8,"mlx compiled, eval every step",4096,2763908,64,8,3
8,"mlx compiled, eval every step",8192,4981146,64,8,3
8,"mlx compiled, eval every step",16384,8193987,64,8,3
8,"mlx compiled, eval every step",32768,9462919,64,8,3
8,"mlx compiled, eval every step",65536,8802816,64,8,3
8,"mlx compiled, eval every 32",1,793,64,8,3
8,"mlx compiled, eval every 32",2,1561,64,8,3
8,"mlx compiled, eval every 32",4,3093,64,8,3
8,"mlx compiled, eval every 32",8,6236,64,8,3
8,"mlx compiled, eval every 32",16,12566,64,8,3
8,"mlx compiled, eval every 32",32,23423,64,8,3
8,"mlx compiled, eval every 32",64,45804,64,8,3
8,"mlx compiled, eval every 32",128,91201,64,8,3
8,"mlx compiled, eval every 32",256,187068,64,8,3
8,"mlx compiled, eval every 32",512,365086,64,8,3
8,"mlx compiled, eval every 32",1024,755726,64,8,3
8,"mlx compiled, eval every 32",2048,1498469,64,8,3
8,"mlx compiled, eval every 32",4096,2972370,64,8,3
8,"mlx compiled, eval every 32",8192,5852887,64,8,3
8,"mlx compiled, eval every 32",16384,9407415,64,8,3
8,"mlx compiled, eval every 32",32768,10114668,64,8,3
8,"mlx compiled, eval every 32",65536,9252810,64,8,3
8,"metal kernel, eval every step",1,3334,64,8,3
8,"metal kernel, eval every step",2,6599,64,8,3
8,"metal kernel, eval every step",4,12992,64,8,3
8,"metal kernel, eval every step",8,22328,64,8,3
8,"metal kernel, eval every step",16,27834,64,8,3
8,"metal kernel, eval every step",32,55284,64,8,3
8,"metal kernel, eval every step",64,106408,64,8,3
8,"metal kernel, eval every step",128,209655,64,8,3
8,"metal kernel, eval every step",256,465882,64,8,3
8,"metal kernel, eval every step",512,1272688,64,8,3
8,"metal kernel, eval every step",1024,3300993,64,8,3
8,"metal kernel, eval every step",2048,6629773,64,8,3
8,"metal kernel, eval every step",4096,13596416,64,8,3
8,"metal kernel, eval every step",8192,25673387,64,8,3
8,"metal kernel, eval every step",16384,38040813,64,8,3
